,sdev,lookback,filter,result
0,3,30,0,1.0307366162036302
1,3,30,1,0.2811583045704329
2,3,30,2,1835.9772946681958
3,3,40,0,8.90633389816325
4,3,40,1,1.1977920644096054
5,3,40,2,5539.014893051947
6,3,50,0,43.33253954665363
7,3,50,1,2.3052939715692315
8,3,50,2,13562.232279198366
9,3,60,0,202.16300285482706
10,3,60,1,4.400617583535068
11,3,60,2,31536.093505677087
12,3,70,0,745.3395640958732
13,3,70,1,9.835779247109617
14,3,70,2,50020.40133479307
15,3,80,0,1365.4270037783645
16,3,80,1,13.954354376159783
17,3,80,2,70660.88363176379
18,3,90,0,521.6058094661397
19,3,90,1,5.50484694463434
20,3,90,2,76299.74051565067
21,3,100,0,651.5231163238341
22,3,100,1,6.994085083563823
23,3,100,2,69310.45668079249
24,3,110,0,1023.5734808133047
25,3,110,1,8.716925144147808
26,3,110,2,63062.29934480588
27,3,120,0,1377.452615056772
28,3,120,1,11.536307144152854
29,3,120,2,70964.24885181391
30,3,130,0,1067.9101492047905
31,3,130,1,11.028488069594193
32,3,130,2,63023.0538230472
33,3,140,0,1061.4466729227415
34,3,140,1,10.372209631881509
35,3,140,2,52249.81035497059
36,3,150,0,1203.902723965151
37,3,150,1,12.939444441391748
38,3,150,2,51945.15310495018
39,3,160,0,765.3923671276274
40,3,160,1,7.803251839977013
41,3,160,2,35420.259456416316
42,3,170,0,383.76373652203694
43,3,170,1,4.5831105520933795
44,3,170,2,22887.244012257837
45,3,180,0,452.1962597805487
46,3,180,1,5.652782764153145
47,3,180,2,21671.259382425058
48,3,190,0,467.2948789187089
49,3,190,1,6.174459771110393
50,3,190,2,29101.186113710093
51,3,200,0,365.4860570715906
52,3,200,1,5.38028765243763
53,3,200,2,24682.563447223347
54,3,210,0,302.66296408977126
55,3,210,1,5.116428259777945
56,3,210,2,21705.023048352257
57,3,220,0,127.70381657136622
58,3,220,1,2.2601331051389173
59,3,220,2,17076.17295844007
60,3,230,0,184.71916074097956
61,3,230,1,3.0967046083262977
62,3,230,2,17969.842015766462
63,3,240,0,149.57660887359043
64,3,240,1,2.7929504596075496
65,3,240,2,14481.026683216607
66,3,250,0,127.88078624334895
67,3,250,1,2.7513830919872864
68,3,250,2,15301.915814299704
69,3,260,0,88.12872786883305
70,3,260,1,2.104823681674367
71,3,260,2,13246.237437165337
72,3,270,0,58.46492360639846
73,3,270,1,1.417510236632433
74,3,270,2,11264.765340273025
75,3,280,0,52.7464024370025
76,3,280,1,1.2379027821230384
77,3,280,2,11464.574856288078
78,3,290,0,41.83636729876011
79,3,290,1,1.1202262600731392
80,3,290,2,11414.765089031616
81,3,300,0,30.388992219198723
82,3,300,1,0.8823481743300544
83,3,300,2,9628.690489698618
84,3,310,0,20.758915079623453
85,3,310,1,0.6468759281551053
86,3,310,2,7221.739939628022
87,3,320,0,18.07059734104033
88,3,320,1,0.525514989216011
89,3,320,2,6810.421271358309
90,3,330,0,13.04946077591559
91,3,330,1,0.3791930378770479
92,3,330,2,6173.442052390086
93,3,340,0,10.470298668788988
94,3,340,1,0.28587807898740536
95,3,340,2,5802.462864278329
96,3,350,0,9.552811614885014
97,3,350,1,0.27624030575021796
98,3,350,2,4702.876990888685
99,3,360,0,7.247630972758472
100,3,360,1,0.2027730664575017
101,3,360,2,4534.18405298379
102,3,370,0,4.387971336767983
103,3,370,1,0.14166643380357738
104,3,370,2,3664.7607115427163
105,3,380,0,3.445224400672961
106,3,380,1,0.1161822969465507
107,3,380,2,3087.253089001027
108,3,390,0,2.071019462056688
109,3,390,1,0.07994300752291637
110,3,390,2,2520.047909587579
111,3,400,0,1.5824267552013591
112,3,400,1,0.06192751492890947
113,3,400,2,2182.526231417704
114,3,410,0,1.7582749636566142
115,3,410,1,0.07152359859726456
116,3,410,2,2197.3506301088937
117,3,420,0,1.22156623031081
118,3,420,1,0.05053322429502446
119,3,420,2,1816.7018084626206
120,3,430,0,0.9825400113831364
121,3,430,1,0.03653600069648989
122,3,430,2,1356.079719906883
123,3,440,0,1.1446312244828816
124,3,440,1,0.039019088055935035
125,3,440,2,1373.419573078199
126,3,450,0,0.8706010269546106
127,3,450,1,0.03549421956034383
128,3,450,2,1123.9693128219637
129,3,460,0,0.584862966878771
130,3,460,1,0.025412674072011542
131,3,460,2,1025.5318200768643
132,3,470,0,0.6697401776380434
133,3,470,1,0.025840342599917018
134,3,470,2,1044.1739235588814
135,3,480,0,0.5572845365592045
136,3,480,1,0.0193055037164359
137,3,480,2,1043.6697131620742
138,4,30,0,649.1392206955959
139,4,30,1,163.39280322664533
140,4,30,2,405.31272868554515
141,4,40,0,1447.328741379066
142,4,40,1,235.142726787429
143,4,40,2,599.4738190625826
144,4,50,0,1215.0202594994678
145,4,50,1,172.3909522388938
146,4,50,2,513.0404519869868
147,4,60,0,2490.825901139687
148,4,60,1,253.74344393991515
149,4,60,2,700.5849349775107
150,4,70,0,2996.964374619553
151,4,70,1,228.9888480823689
152,4,70,2,631.6383118613074
153,4,80,0,3270.32397216556
154,4,80,1,192.51204595210538
155,4,80,2,761.9272984273608
156,4,90,0,3824.1358202619226
157,4,90,1,211.35291953072777
158,4,90,2,637.0175968938697
159,4,100,0,3183.934369961066
160,4,100,1,181.59894307336876
161,4,100,2,669.8945240136934
162,4,110,0,3503.4383874021214
163,4,110,1,225.55301475442158
164,4,110,2,841.1954412374396
165,4,120,0,4960.530328053955
166,4,120,1,264.11607092718504
167,4,120,2,1082.5782568153018
168,4,130,0,4958.686509430623
169,4,130,1,292.06079796567036
170,4,130,2,936.602368675261
171,4,140,0,3442.921249344747
172,4,140,1,210.56825821666075
173,4,140,2,755.2937104374664
174,4,150,0,2992.813380752209
175,4,150,1,183.03943759185458
176,4,150,2,712.7221964558387
177,4,160,0,1765.2183012972537
178,4,160,1,118.84043287004735
179,4,160,2,483.81877873703
180,4,170,0,1221.5555465764733
181,4,170,1,90.98369594285546
182,4,170,2,396.233163475349
183,4,180,0,1319.8214320520333
184,4,180,1,80.303347279298
185,4,180,2,415.0146068096194
186,4,190,0,1071.0718715161556
187,4,190,1,64.07667758872253
188,4,190,2,435.76331512380654
189,4,200,0,826.3532983633493
190,4,200,1,56.48303029114528
191,4,200,2,385.3319399221593
192,4,210,0,721.4173774514783
193,4,210,1,49.89973213983588
194,4,210,2,376.4662202934427
195,4,220,0,619.6369282078344
196,4,220,1,43.45759017114144
197,4,220,2,375.0372278435403
198,4,230,0,587.79338068128
199,4,230,1,38.12765018353916
200,4,230,2,331.3508951971632
201,4,240,0,488.4416518612811
202,4,240,1,30.427928271876826
203,4,240,2,274.834274972725
204,4,250,0,715.0250920743139
205,4,250,1,35.75711553645997
206,4,250,2,297.74965779405204
207,4,260,0,689.7059588079335
208,4,260,1,35.445255241105265
209,4,260,2,301.42449215180244
210,4,270,0,645.540042379628
211,4,270,1,32.26658341107178
212,4,270,2,308.98085396027295
213,4,280,0,537.3893746038024
214,4,280,1,26.617020094642523
215,4,280,2,272.4841497341855
216,4,290,0,497.6899888550755
217,4,290,1,25.076954599250374
218,4,290,2,260.0908616209565
219,4,300,0,580.5162089228209
220,4,300,1,28.66626285248736
221,4,300,2,299.23256731222807
222,4,310,0,607.6787649127277
223,4,310,1,28.377691687571584
224,4,310,2,298.3617494707874
225,4,320,0,564.3399589186729
226,4,320,1,29.91009726016572
227,4,320,2,273.5124946358303
228,4,330,0,621.667036541387
229,4,330,1,33.74746714622691
230,4,330,2,301.06140240557147
231,4,340,0,488.762862787305
232,4,340,1,27.218164577551953
233,4,340,2,270.7181105454236
234,4,350,0,507.8249656230295
235,4,350,1,30.267706290692054
236,4,350,2,299.7485004483834
237,4,360,0,551.0967868910639
238,4,360,1,31.277862893257375
239,4,360,2,324.9064171062261
240,4,370,0,471.9869142610725
241,4,370,1,28.317517294776266
242,4,370,2,304.72228385142853
243,4,380,0,465.3893801060481
244,4,380,1,30.434514062959657
245,4,380,2,317.34399331043466
246,4,390,0,417.808846582693
247,4,390,1,26.575079632086567
248,4,390,2,266.34332557789946
249,4,400,0,380.0510570556154
250,4,400,1,21.305561264381197
251,4,400,2,257.87830033630496
252,4,410,0,435.99097651196547
253,4,410,1,25.282891904340428
254,4,410,2,282.70666409976235
255,4,420,0,411.67419379461984
256,4,420,1,23.67241913817361
257,4,420,2,291.672874952113
258,4,430,0,429.7134251638468
259,4,430,1,24.439029478187475
260,4,430,2,298.0483568444334
261,4,440,0,376.5929189473202
262,4,440,1,22.49321506836658
263,4,440,2,286.7625461944307
264,4,450,0,429.27768694385657
265,4,450,1,24.994891909366473
266,4,450,2,316.7516832178527
267,4,460,0,366.8433638784485
268,4,460,1,21.747722390543906
269,4,460,2,293.0089358010242
270,4,470,0,370.81751882525464
271,4,470,1,22.363795513125854
272,4,470,2,288.5568292999543
273,4,480,0,347.69586612893534
274,4,480,1,20.804599721335578
275,4,480,2,282.17957508598954
276,5,30,0,159.0881788145402
277,5,30,1,101.2994576709312
278,5,30,2,107.88337524061498
279,5,40,0,249.38033193654877
280,5,40,1,139.01597100276376
281,5,40,2,136.0343928789659
282,5,50,0,299.1572655950678
283,5,50,1,145.20181517061567
284,5,50,2,152.63985328177313
285,5,60,0,516.5503722245785
286,5,60,1,151.08652805999742
287,5,60,2,190.68035637195894
288,5,70,0,470.46135613475496
289,5,70,1,137.1721935958682
290,5,70,2,159.73005905081385
291,5,80,0,589.8199691650342
292,5,80,1,120.30941454636081
293,5,80,2,159.9620056844381
294,5,90,0,648.9363971962619
295,5,90,1,129.1892997444712
296,5,90,2,164.35894343862074
297,5,100,0,570.8840610453248
298,5,100,1,114.40225072313832
299,5,100,2,148.3658703081676
300,5,110,0,1234.2111183985733
301,5,110,1,172.60584110633116
302,5,110,2,206.06114797184176
303,5,120,0,1114.3358940766743
304,5,120,1,165.75274304809778
305,5,120,2,217.8164529016676
306,5,130,0,1043.4101261374763
307,5,130,1,153.10638231272688
308,5,130,2,204.10232327259217
309,5,140,0,1100.2159660791913
310,5,140,1,130.43889913042742
311,5,140,2,157.54070823929013
312,5,150,0,942.9426198684858
313,5,150,1,120.19455116877324
314,5,150,2,139.8572682893451
315,5,160,0,1042.6551108335689
316,5,160,1,136.32072380383158
317,5,160,2,163.46244835755283
318,5,170,0,1212.0748956185357
319,5,170,1,156.57023586358426
320,5,170,2,187.5916111096426
321,5,180,0,1410.7947888259046
322,5,180,1,177.1525886097026
323,5,180,2,202.36625544299574
324,5,190,0,1732.3898486582546
325,5,190,1,182.2528304820772
326,5,190,2,207.48358839714086
327,5,200,0,1571.0535693830682
328,5,200,1,177.69927855994757
329,5,200,2,192.30580390927062
330,5,210,0,1450.798981998897
331,5,210,1,162.61437702790136
332,5,210,2,217.20237222022098
333,5,220,0,1414.0047679919462
334,5,220,1,156.01693979822886
335,5,220,2,221.23804451727426
336,5,230,0,1289.6909474681
337,5,230,1,146.93862899595277
338,5,230,2,222.85672796644414
339,5,240,0,1070.4307359320196
340,5,240,1,128.73399335029282
341,5,240,2,211.70467285174146
342,5,250,0,1007.1934834033046
343,5,250,1,115.76177481376004
344,5,250,2,214.82491181024469
345,5,260,0,1058.2930418705128
346,5,260,1,118.70672119799947
347,5,260,2,222.134816358301
348,5,270,0,1154.3067208101138
349,5,270,1,113.52115380599672
350,5,270,2,205.61313283162735
351,5,280,0,1017.2036831606694
352,5,280,1,100.49337634185922
353,5,280,2,203.119235822546
354,5,290,0,823.0639196014934
355,5,290,1,88.11521662412987
356,5,290,2,197.04629472848964
357,5,300,0,760.5377005706872
358,5,300,1,82.68657200594313
359,5,300,2,188.79488359993758
360,5,310,0,698.6348303308084
361,5,310,1,76.80491433496644
362,5,310,2,185.98211698408554
363,5,320,0,675.539697051163
364,5,320,1,73.05685212649988
365,5,320,2,184.62880281576506
366,5,330,0,731.9966989972844
367,5,330,1,75.03846410325453
368,5,330,2,182.1416392388398
369,5,340,0,618.1294905409843
370,5,340,1,67.05081062655837
371,5,340,2,170.09720127178642
372,5,350,0,783.5500495897928
373,5,350,1,73.83188087159334
374,5,350,2,175.31264796505053
375,5,360,0,786.6924119307357
376,5,360,1,73.36850590920322
377,5,360,2,168.23137306488348
378,5,370,0,732.9557031718924
379,5,370,1,66.44355687367703
380,5,370,2,166.69663855252773
381,5,380,0,787.309456064398
382,5,380,1,70.40441095280791
383,5,380,2,169.78250844618879
384,5,390,0,759.3498674912057
385,5,390,1,67.10171458452636
386,5,390,2,169.89727071883502
387,5,400,0,723.2768020642955
388,5,400,1,67.25763744052362
389,5,400,2,162.08040018196252
390,5,410,0,807.8334056554237
391,5,410,1,66.36114652335719
392,5,410,2,156.6448700787363
393,5,420,0,851.2168201324753
394,5,420,1,70.31700099115812
395,5,420,2,155.14659023295522
396,5,430,0,754.3713238097341
397,5,430,1,62.38936499361522
398,5,430,2,152.79311094665042
399,5,440,0,713.4049615875799
400,5,440,1,60.71425961224013
401,5,440,2,149.45835660860564
402,5,450,0,669.4932789115605
403,5,450,1,58.2660766247954
404,5,450,2,145.92929971275933
405,5,460,0,595.0020778391586
406,5,460,1,53.705587109627665
407,5,460,2,138.59982422970324
408,5,470,0,628.2388506558897
409,5,470,1,54.49676949636515
410,5,470,2,142.77466385976604
411,5,480,0,604.4121763983173
412,5,480,1,53.19229671828919
413,5,480,2,144.66333228187017
414,6,30,0,99.94725944117756
415,6,30,1,99.9734636480529
416,6,30,2,99.9734636480529
417,6,40,0,139.67982488523572
418,6,40,1,98.37413114500549
